Grid Search Results with Lag:

Decay Model: PowerLaw, Parameter: 1.0, Period Type: day, Period Amount: 1, Correlation: 0.0089
Decay Model: PowerLaw, Parameter: 1.5, Period Type: day, Period Amount: 1, Correlation: 0.0456
Decay Model: PowerLaw, Parameter: 0.5, Period Type: day, Period Amount: 2, Correlation: -0.0538
Decay Model: PowerLaw, Parameter: 1.0, Period Type: day, Period Amount: 2, Correlation: -0.0165
Decay Model: PowerLaw, Parameter: 1.5, Period Type: day, Period Amount: 2, Correlation: 0.0202
Decay Model: PowerLaw, Parameter: 0.5, Period Type: day, Period Amount: 3, Correlation: -0.0554
Decay Model: PowerLaw, Parameter: 1.0, Period Type: day, Period Amount: 3, Correlation: -0.0286
Decay Model: PowerLaw, Parameter: 1.5, Period Type: day, Period Amount: 3, Correlation: 0.0067
Decay Model: PowerLaw, Parameter: 0.5, Period Type: week, Period Amount: 1, Correlation: -0.0579
Decay Model: PowerLaw, Parameter: 1.0, Period Type: week, Period Amount: 1, Correlation: -0.0475
Decay Model: PowerLaw, Parameter: 1.5, Period Type: week, Period Amount: 1, Correlation: -0.0238
Decay Model: PowerLaw, Parameter: 0.5, Period Type: week, Period Amount: 2, Correlation: -0.0590
Decay Model: PowerLaw, Parameter: 1.0, Period Type: week, Period Amount: 2, Correlation: -0.0572
Decay Model: PowerLaw, Parameter: 1.5, Period Type: week, Period Amount: 2, Correlation: -0.0467
Decay Model: PowerLaw, Parameter: 0.5, Period Type: week, Period Amount: 3, Correlation: -0.0594
Decay Model: PowerLaw, Parameter: 1.0, Period Type: week, Period Amount: 3, Correlation: -0.0607
Decay Model: PowerLaw, Parameter: 1.5, Period Type: week, Period Amount: 3, Correlation: -0.0565
